"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"north east";"MMR";1;2007;0;NA;NA;NA;NA
"north east";"MMR";1;2008;0;0.931330472103004;NA;NA;NA
"north east";"MMR";1;2009;0;0.934151785714286;0.933920704845815;NA;NA
"north east";"MMR";1;2010;0;0.948968512486428;0.956913435174305;0.949308755760369;NA
"north east";"MMR";1;2011;0;0.942868247182277;0.968714231209462;0.970769864141622;0.953051643192488
"north east";"MMR";1;2012;0;0.962518195050946;0.963253509496284;0.980776932318782;0.974967630556754
"north east";"MMR";1;2013;0;0.968473255402055;0.972847168347556;0.981214504150284;0.98618668899121
"north east";"MMR";1;2014;0;0.967294703163882;0.97737556561086;0.982340862422998;0.983151183970856
"north east";"MMR";1;2015;0;0.970946915351506;0.976937618147448;0.982983775227543;0.986394557823129
"north east";"MMR";1;2016;NA;0.974713418745786;0.982115677321157;0.985381272224417;0.984767393989296
"north east";"MMR";1;2017;NA;NA;0.980322003577818;0.986794717887155;0.98772504091653
"north east";"MMR";1;2018;NA;NA;NA;0.983895131086142;0.989148580968281
"north east";"MMR";1;2019;NA;NA;NA;NA;0.98531211750306
"north east";"MMR";2;2007;0;NA;NA;NA;NA
"north east";"MMR";2;2008;0;0;NA;NA;NA
"north east";"MMR";2;2009;0;0.000744047619047619;0;NA;NA
"north east";"MMR";2;2010;0;0;0.00235017626321974;0.847926267281106;NA
"north east";"MMR";2;2011;0;0.00155460551884959;0.000381533765738268;0.867023466447098;0.873239436619718
"north east";"MMR";2;2012;0;0;0.00289017341040462;0.915899078894674;0.930513595166163
"north east";"MMR";2;2013;0;0.000354233085370174;0.00116369278510473;0.917868064657056;0.948932607785684
"north east";"MMR";2;2014;0;0;0.00188536953242836;0.905544147843943;0.951275045537341
"north east";"MMR";2;2015;0;0.000358680057388809;0.000756143667296786;0.920459042342699;0.95280612244898
"north east";"MMR";2;2016;NA;0.000674308833445718;0.000380517503805175;0.913472935598578;0.952243721696171
"north east";"MMR";2;2017;NA;NA;0.000715563506261181;0.921168467386955;0.950490998363339
"north east";"MMR";2;2018;NA;NA;NA;0.934831460674157;0.959098497495826
"north east";"MMR";2;2019;NA;NA;NA;NA;0.962056303549572
"north west";"MMR";1;2007;0;NA;NA;NA;NA
"north west";"MMR";1;2008;0;0.871532846715328;NA;NA;NA
