"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"east midlands";"MMR";1;2005;0.7035;0.9315;0.940124004602077;0.954177916967733;0.965593868086568
"east midlands";"MMR";1;2006;0.704625;0.938;0.945368418786367;0.949215346685782;0.955738759930762
"east midlands";"MMR";1;2007;0.700275;0.9395;0.949042484739521;0.955355942026513;0.95089511601571
"east midlands";"MMR";1;2008;0.70185;0.9337;0.95143990071186;0.956994874601971;0.957201295008094
"east midlands";"MMR";1;2009;0.696375;0.9358;0.963;0.96003857642837;0.958464204483916
"east midlands";"MMR";1;2010;0.709875;0.9285;0.9567;0.9841;0.96162731785
"east midlands";"MMR";1;2011;0.720225;0.9465;0.9582;0.9684;0.988
"east midlands";"MMR";1;2012;0.725175;0.9603;0.9672;0.9737;0.9764
"east midlands";"MMR";1;2013;0.722625;0.9669;0.9793;0.9741;0.981
"east midlands";"MMR";1;2014;0.720675;0.9635;0.9788;0.9879;0.9816
"east midlands";"MMR";1;2015;0.7212;0.9609;0.9769;0.9854;0.9885
"east midlands";"MMR";1;2016;0.7259037804375;0.9616;0.9769;0.9805;0.9867
"east midlands";"MMR";1;2017;0.724103212725;0.96787170725;0.9769;0.9832;0.9829
"east midlands";"MMR";1;2018;0.7199596699875;0.9654709503;0.97499087923916;0.9837;0.9858
"east midlands";"MMR";1;2019;0.721281704025;0.95994622665;0.97351467227244;0.97815417403935;0.9868
"east midlands";"MMR";2;2005;0;0;0;0;0.672070916351769
"east midlands";"MMR";2;2006;0;0;0;0;0.670501198348942
"east midlands";"MMR";2;2007;0;0;0;0;0.663927908825868
"east midlands";"MMR";2;2008;0;0;0;0;0.675228048300302
"east midlands";"MMR";2;2009;0;0;0;0;0.690019495288639
"east midlands";"MMR";2;2010;0;0;0;0;0.6960887628
"east midlands";"MMR";2;2011;0;0;0;0;0.70875
"east midlands";"MMR";2;2012;0;0;0;0;0.6948
"east midlands";"MMR";2;2013;0;0;0;0;0.70785
"east midlands";"MMR";2;2014;0;0;0;0;0.705525
"east midlands";"MMR";2;2015;0;0;0;0;0.69855
"east midlands";"MMR";2;2016;0;0;0;0;0.695775
"east midlands";"MMR";2;2017;0;0;0;0;0.710175
"east midlands";"MMR";2;2018;0;0;0;0;0.7065
"east midlands";"MMR";2;2019;0;0;0;0;0.709875
"east of england";"MMR";1;2005;0.691125;0.907;0.9126534645338;0.925631234685189;0.940180534119078
"east of england";"MMR";1;2006;0.696;0.9215;0.919306544892252;0.917615603010433;0.926291805294943
"east of england";"MMR";1;2007;0.667125;0.928;0.931405826134005;0.923621161979709;0.918803348922393
"east of england";"MMR";1;2008;0.692925;0.8895;0.93974768925416;0.934878762451823;0.924653916069792
"east of england";"MMR";1;2009;0.69795;0.9239;0.936;0.9438663741684;0.935710050400237
"east of england";"MMR";1;2010;0.7086;0.9306;0.9527;0.9523;0.9448522296
